256,1,15
512,1,13
512,2,11
768,1,9
768,2,9
768,3,10
1024,1,9
1024,2,9
1024,3,8
1024,4,8
1280,1,8
1280,2,8
1280,3,8
1280,4,8
1280,5,9
1536,1,8
1536,2,8
1536,3,8
1536,4,8
1536,5,8
1536,6,9
1792,1,8
1792,2,8
1792,3,8
1792,4,8
1792,5,9
1792,6,9
1792,7,9
2048,1,8
2048,2,8
2048,3,8
2048,4,8
2048,5,9
2048,6,9
2048,7,9
2048,8,9
2304,1,8
2304,2,8
2304,3,8
2304,4,8
2304,5,9
2304,6,9
2304,7,9
2304,8,9
2304,9,9
2560,1,8
2560,2,8
2560,3,8
2560,4,8
2560,5,9
2560,6,9
2560,7,9
2560,8,9
2560,9,9
2560,10,9
2816,1,8
2816,2,8
2816,3,8
2816,4,9
2816,5,9
2816,6,9
2816,7,9
2816,8,9
2816,9,9
2816,10,9
2816,11,10
3072,1,8
3072,2,8
3072,3,8
3072,4,9
3072,5,9
3072,6,9
3072,7,9
3072,8,9
3072,9,9
3072,10,9
3072,11,10
3072,12,10
3328,1,8
3328,2,8
3328,3,8
3328,4,9
3328,5,9
3328,6,9
3328,7,9
3328,8,9
3328,9,9
3328,10,9
3328,11,10
3328,12,10
3328,13,10
3584,1,8
3584,2,8
3584,3,9
3584,4,9
3584,5,9
3584,6,9
3584,7,9
3584,8,9
3584,9,9
3584,10,10
3584,11,10
3584,12,10
3584,13,10
3584,14,11
3840,1,8
3840,2,8
3840,3,8
3840,4,9
3840,5,9
3840,6,9
3840,7,9
3840,8,9
3840,9,9
3840,10,9
3840,11,10
3840,12,10
3840,13,10
3840,14,10
3840,15,11
4096,1,8
4096,2,8
4096,3,8
4096,4,9
4096,5,9
4096,6,9
4096,7,9
4096,8,9
4096,9,9
4096,10,9
4096,11,10
4096,12,10
4096,13,10
4096,14,10
4096,15,11
4096,16,11
4352,1,8
4352,2,8
4352,3,9
4352,4,9
4352,5,9
4352,6,9
4352,7,9
4352,8,9
4352,9,9
4352,10,9
4352,11,10
4352,12,10
4352,13,10
4352,14,10
4352,15,11
4352,16,11
4352,17,11
4608,1,8
4608,2,8
4608,3,9
4608,4,9
4608,5,9
4608,6,9
4608,7,9
4608,8,9
4608,9,9
4608,10,10
4608,11,10
4608,12,10
4608,13,10
4608,14,10
4608,15,11
4608,16,11
4608,17,11
4608,18,11
4864,1,8
4864,2,8
4864,3,9
4864,4,9
4864,5,9
4864,6,9
4864,7,9
4864,8,9
4864,9,9
4864,10,10
4864,11,10
4864,12,10
4864,13,10
4864,14,10
4864,15,11
4864,16,11
4864,17,11
4864,18,11
4864,19,12
5120,1,8
5120,2,8
5120,3,9
5120,4,9
5120,5,9
5120,6,9
5120,7,9
5120,8,9
5120,9,9
5120,10,9
5120,11,10
5120,12,10
5120,13,10
5120,14,10
5120,15,11
5120,16,11
5120,17,11
5120,18,11
5120,19,12
5120,20,12
5376,1,8
5376,2,8
5376,3,9
5376,4,9
5376,5,9
5376,6,9
5376,7,9
5376,8,9
5376,9,9
5376,10,10
5376,11,10
5376,12,10
5376,13,10
5376,14,10
5376,15,11
5376,16,11
5376,17,11
5376,18,11
5376,19,12
5376,20,12
5376,21,12
5632,1,9
5632,2,8
5632,3,9
5632,4,9
